scorer,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker
8,66.84476792229995,117.80510675826447,1.0,281.3668403687594,102.51598898274003,1.0,216.37872404679575,100.61726747476783,1.0,221.23745906785726,98.63183299945327,1.0,70.06455634552236,251.33386591087145,1.0,274.80286831928794,233.62493366717894,1.0,214.38157602348696,291.84631407587165,1.0,214.65626799077893,343.47534828792215,1.0
9,68.77286981381582,115.73857603161223,1.0,276.9947687043172,101.87230561112578,1.0,215.1334903959249,99.40676594139534,1.0,216.84546914042497,98.20607108687665,1.0,72.11923311047076,253.89121396595607,1.0,270.6970297803015,231.98183523967123,1.0,213.37879551259567,294.46712726409294,1.0,210.8101476515178,342.55179313463196,1.0
10,71.54651267240828,112.67476397026427,1.0,271.68568158615574,100.79800412613751,1.0,214.85011914662488,98.06688804565445,1.0,213.40684987484343,99.129168388477,1.0,75.08078797521196,257.0208596368599,1.0,265.7728099744906,230.89038393328784,1.0,213.3118107357993,298.2902280129985,1.0,207.62743468130725,341.96017128741977,1.0
11,75.01667257090969,108.89374808599894,1.0,266.0753332606311,100.8121710260863,1.0,220.30031657619526,96.71377937480837,1.0,212.35573433191288,99.69921912010278,1.0,78.86051583445027,269.5845388906166,1.0,260.4009314370853,230.8496591213436,1.0,218.56050348992946,302.20589639483705,1.0,206.60264450149245,340.23417746437985,1.0
12,79.5003214402688,106.0300171542531,1.0,262.08926737124835,99.54484675913834,1.0,228.59444253745124,94.22574531527306,1.0,207.94595702891468,99.54819701929148,1.0,83.36913246590933,271.71403067501615,1.0,256.7964870376568,231.18224343523633,1.0,226.65660048623303,310.8768640856209,1.0,202.71247668064524,340.4923151942169,1.0
13,89.96460665981311,98.03234034566498,1.0,259.67128993580866,98.6119351957727,1.0,234.69494457500554,93.03261495635749,1.0,205.31007999985147,99.90833769452672,1.0,94.07770926495564,279.6667185174683,1.0,254.6343173565998,231.24336995723868,1.0,232.75570518392027,323.1077770133126,1.0,200.3282515762346,341.0100883608442,1.0
14,95.53260266861373,94.07718906681872,1.0,254.13568132939707,96.59903598858209,1.0,242.0914015523953,89.79073350941873,1.0,200.24275101913335,99.96709880457401,1.0,99.7388143193055,283.8209111897585,1.0,249.66781905708234,231.59466741927673,1.0,239.9136209462614,326.9279272852729,1.0,195.83475121950363,342.38547952573964,1.0
15,102.41205520396207,90.80317690585977,1.0,251.65405243622197,96.30981700507976,1.0,249.5498731043769,87.12343032286513,1.0,196.54314542427497,99.81467585870539,1.0,106.54015492486893,289.05678612431586,1.0,247.3493659485509,232.20563658971474,1.0,247.02173699911347,328.352078679992,1.0,192.57440406849759,342.57674209618693,1.0
16,110.24227913477962,90.13019404231332,1.0,248.54976833015084,96.44225966297256,1.0,258.41588796470216,84.65348288036145,1.0,192.75470025781237,100.24279019268054,1.0,113.86133829137727,289.38330276135673,1.0,244.3606509102928,232.4214264982018,1.0,255.3647509502174,327.9079327986189,1.0,189.15304592825873,342.46005009508343,1.0
17,115.92876195809869,89.98819598501525,1.0,245.65213816426976,97.88596350075488,1.0,265.1934437732892,85.91398969764111,1.0,188.5718505372496,101.0812582228104,1.0,119.13942366688752,289.9432591498392,1.0,241.3616242890515,232.88345137400563,1.0,261.54021260186096,326.9028708604245,1.0,185.32610002838567,342.43447425072344,1.0
18,121.94097039561,85.84445666648959,1.0,240.82988431070015,99.36502828407819,1.0,271.6592475849951,88.26337167549843,1.0,184.77778029814402,101.84273143979073,1.0,125.1994376455296,290.4178751663516,1.0,236.52685889407564,234.09221069287796,1.0,267.3137204233748,324.2718760341512,1.0,181.86061221514916,343.1466002019906,1.0
19,127.99322658914693,84.40021192262961,1.0,238.22218018522398,100.25145830251661,1.0,278.08904095896384,89.90462945939673,1.0,180.757991913091,102.53495631913836,1.0,130.94825613178992,288.39879751013723,1.0,233.89208397546196,234.3464136228293,1.0,273.12567823792597,322.6415967918844,1.0,178.20499058868205,343.9394524476213,1.0
20,136.99794725996173,84.28387851323167,1.0,232.18706088358465,100.90646109033808,1.0,282.39746159050225,90.82727481987683,1.0,177.35992097154082,102.72350553391769,1.0,139.22020721382682,281.46754382140847,1.0,227.99346585926853,233.25052207641525,1.0,277.0476570540009,322.1096086615944,1.0,175.1651713543199,344.103687806199,1.0
21,142.65191421921065,84.972164327864,1.0,227.99180943595545,101.0496223574367,1.0,287.28281482113437,91.94711394955239,1.0,173.26725481903912,103.21521301257619,1.0,144.3057029248826,275.3231460325728,1.0,223.95843306136499,233.4308338097866,1.0,281.45403989226327,320.3251079253404,1.0,171.46553911390902,344.0376333126137,1.0
22,147.94098585446307,85.37448546801613,1.0,225.25873560850997,101.03212839360222,1.0,291.6953608894132,91.9627425140815,1.0,168.77703633815923,103.72670044695981,1.0,149.1004417208971,270.47245576246996,1.0,221.34004778075467,233.0673286000291,1.0,285.49521096504037,318.8352446140033,1.0,167.41050958065387,343.9819199355506,1.0
23,153.62422249450302,85.80346657723388,1.0,222.29723986712847,99.91194242246922,1.0,296.85541620526755,91.58750177250556,1.0,166.16656062250388,104.10443834914288,1.0,154.2637640378881,266.4232066900691,1.0,218.6924255799108,233.40762527992382,1.0,290.2898091202902,318.58437075860877,1.0,165.04149487584036,343.8860611368158,1.0
24,158.57830578312183,86.18021838612744,1.0,219.20525206755016,99.63522162527613,1.0,301.28557000309934,91.94252097444857,1.0,162.70244388647825,104.59391570720138,1.0,158.77358302069572,263.88774351456965,1.0,215.77571565134195,233.24954537142406,1.0,294.3312948747083,317.21052116971634,1.0,161.89891564184555,343.69632451883007,1.0
25,163.35565909869752,85.07717905361102,1.0,216.3965699411519,99.72088281749862,1.0,305.8159464258458,91.66069901641625,1.0,159.7842333655272,105.0466652091176,1.0,163.26760820664515,258.0786812051571,1.0,213.07516756758795,233.32103754105398,1.0,298.5219476221923,316.4691795238668,1.0,159.24930131353244,343.94591200432814,1.0
26,168.89325181219982,85.41524102543693,1.0,213.00046511152328,99.58137433496394,1.0,308.92725737622595,91.06704706697059,1.0,156.37995646602798,105.79017643420234,1.0,168.31696784386648,255.06894804493362,1.0,209.8475657696948,233.3098887859226,1.0,301.40962798416876,315.5264228394281,1.0,156.12608916046435,343.8998889420264,1.0
27,170.37114888616122,85.44766699131945,1.0,209.95788606672434,99.17761930360516,1.0,312.4177230933513,90.84360969535985,1.0,153.58480788175072,105.93940998043232,1.0,169.65772978148902,252.78877290010584,1.0,207.00789602873505,233.73604573674956,1.0,304.62547395518845,314.5270930012652,1.0,153.62810304112978,344.2436730545689,1.0
28,169.8322754798765,87.1108990118934,1.0,208.6366841866534,98.60885289996436,1.0,314.81333979739685,92.68700741366412,1.0,152.6502826676433,105.71539738061567,1.0,168.94445328815405,251.17972731201647,1.0,205.8454479581542,234.36736026128602,1.0,306.71298544159583,313.6991917072802,1.0,152.82978241805085,344.2638335134034,1.0
29,168.39318174115277,91.99136811246201,1.0,203.70741952954245,97.82517332988866,1.0,317.16744237134986,95.37313861993434,1.0,151.6945532514034,106.4986793516958,1.0,167.02403984379671,250.87102047184212,1.0,201.25143848989742,234.14433024417232,1.0,308.71715143561903,312.9925813258854,1.0,151.87716538690617,344.6377411428929,1.0
30,163.7095736182187,96.95309305087959,1.0,202.09159670266382,96.53840656131507,1.0,320.86766167947496,98.81488505484981,1.0,146.66504930567993,107.67775440265183,1.0,162.09913615643435,250.99625461385332,1.0,199.91393920433185,234.1947866911661,1.0,311.920107042876,312.13213487626496,1.0,147.2574410969534,345.2692818361315,1.0
31,161.4934373367306,102.48545913753003,1.0,200.4788871641262,95.54757657949828,1.0,322.8068610743621,103.80677207796639,1.0,141.98269349851975,108.01533389621682,1.0,159.38751243147016,251.27036229995852,1.0,198.52842666029142,234.04535297022372,1.0,313.3860583369019,310.75459052814637,1.0,143.05488329928426,345.0990680571606,1.0
32,158.33002485411103,103.69342042067066,1.0,198.5165648270256,94.34141397201307,1.0,323.95076704534677,106.64249454362576,1.0,139.23675771914495,108.00634076933568,1.0,156.31423844367234,250.83399065496346,1.0,196.8437028194453,233.93079677142347,1.0,314.2696665257625,310.348746004126,1.0,140.6214916469932,345.342882325265,1.0
33,155.84479529565223,104.68976339575397,1.0,200.93633883156036,93.1693213256653,1.0,325.2459609530199,108.67853551698373,1.0,136.10180132094467,108.58565001789138,1.0,153.89952163067966,251.069247635491,1.0,199.34821589013228,233.89233269979252,1.0,315.29776029913774,308.5902780204878,1.0,137.762043264895,345.5764012131644,1.0
34,151.34892341861874,104.93092582863599,1.0,199.82304329747637,92.04044215683724,1.0,321.2661720409487,110.68793300786982,1.0,132.89975545009474,108.94542937658031,1.0,149.72346392090134,251.9588260763618,1.0,198.46819771246254,234.0757283357717,1.0,311.46137315370737,307.5160802901528,1.0,134.87325666862134,345.8160338224154,1.0
35,147.96631245773622,104.54987299432283,1.0,202.8156811979643,89.52430525213815,1.0,318.2289974045232,111.48564226052369,1.0,130.4008529898715,109.32316387377524,1.0,146.65214560117073,252.94566780075826,1.0,201.74406971350317,234.41002192941102,1.0,308.52566626037736,305.0655774115936,1.0,132.6068298523658,346.1678263291698,1.0
36,144.61387254800138,103.95080689177043,1.0,204.34821985955762,87.28204409778589,1.0,316.14412153590973,111.28440296313796,1.0,128.6977491018176,109.76327830875456,1.0,143.63026865902876,253.4306751406081,1.0,203.5798147122901,234.83413897653477,1.0,306.53739557046157,302.85754954962187,1.0,131.035651219333,346.2285714016748,1.0
37,141.31886241397248,103.37109737436671,1.0,210.99259031373455,83.27716005844604,1.0,313.348001713547,110.96494019625118,1.0,125.96025129343059,110.46563737774062,1.0,140.65697719751216,253.6838689171775,1.0,210.58749723472232,234.95016953704487,1.0,303.88355976931274,300.21515723322733,1.0,128.51157574760845,346.41065451727,1.0
38,138.16347027776058,103.77056144487703,1.0,219.02647122745353,82.27394244287605,1.0,310.4786007009781,110.74523717882474,1.0,122.02498534359175,111.39150642107224,1.0,137.69937962258416,254.42006672375697,1.0,218.42455832670672,234.10742245865933,1.0,301.1692484099807,297.9988073636486,1.0,124.89462229160033,346.67268435697844,1.0
39,135.21394725535026,104.83308455207371,1.0,228.802901279086,81.8063795513485,1.0,307.5400096365129,110.27552025324131,1.0,119.78839684148143,112.16046852216459,1.0,134.84868161045156,254.77426689120438,1.0,227.85250025650933,233.8916204987595,1.0,298.43368551876387,296.7015699898227,1.0,122.80736838172805,347.04088279469335,1.0
40,131.70297365456014,104.79513251554772,1.0,234.79992955385418,81.09940726685856,1.0,304.55961011141005,109.37758713570602,1.0,116.9862539303117,112.18146122529468,1.0,131.61064348693492,255.0347178765055,1.0,233.71167754024378,234.26602058952955,1.0,295.70107738058084,295.95331134208675,1.0,120.32043925633097,347.3414981781176,1.0
41,127.06072563369968,105.82904427005685,1.0,244.18793231164335,81.62907605166555,1.0,301.0953480212471,108.90650219612132,1.0,114.31421415235977,112.88531761231114,1.0,127.19523620954512,254.9988601792963,1.0,242.6718751546675,238.17846859919098,1.0,292.51578135161816,295.8594051722879,1.0,117.8576243376639,347.94607894182957,1.0
42,123.81140040430306,107.20056271067587,1.0,254.06759557036676,83.82138857891353,1.0,297.4359603558924,107.78452380831686,1.0,111.28453666346957,113.48683198901473,1.0,124.03362253088457,255.7140587611404,1.0,251.81711638690163,241.03293775095133,1.0,289.19997141501545,296.1762795401929,1.0,115.09214289305515,348.6289682614336,1.0
43,121.3453207600356,108.30448063106073,1.0,264.0268935287875,86.05406085319404,1.0,293.107591929153,107.17478090071481,1.0,107.8942517393181,113.85740847479805,1.0,121.62688947193696,256.29553131779886,1.0,261.03588163937144,244.1306513302856,1.0,285.2056082616814,295.5491579221333,1.0,112.03272934735112,348.6047643625718,1.0
44,117.65946938930699,109.2635650495652,1.0,269.8377211996124,87.47354455950605,1.0,288.3895983290316,106.42881155455885,1.0,103.50100719980114,114.59253005337408,1.0,118.1053707568638,256.3589206083456,1.0,266.406443975661,246.61500623792503,1.0,280.86719823644756,295.2154047544161,1.0,108.04074837180391,349.51170698406986,1.0
45,113.10389163252106,109.78248247571271,1.0,278.2175475312555,89.16071075377764,1.0,284.19484233049207,105.04967034770988,1.0,101.1942565448538,115.05326766471376,1.0,113.83071670671022,256.1795675210223,1.0,274.1861868443688,248.71870442684272,1.0,277.0444483390763,294.69892422305304,1.0,105.93426296305407,349.9677585280171,1.0
46,109.96171420530075,111.60846858260449,1.0,284.5511508151911,89.3809102471005,1.0,280.05360787876344,104.32074825539368,1.0,97.99253361618197,114.79812092494568,1.0,110.70731417269204,256.23946394619077,1.0,280.21473886451463,248.91293894767165,1.0,273.23904901576446,294.35343991060597,1.0,103.13465627121381,350.76406022383065,1.0
47,105.98540062572246,112.03765616690882,1.0,289.45093891602255,89.62036919025608,1.0,276.3496159236111,103.52930569470541,1.0,94.23086630694581,114.0937253981776,1.0,106.97922678570495,256.10058892663153,1.0,284.8796167002291,249.83945836653587,1.0,269.85409786744907,294.3876673992933,1.0,99.89724894444356,351.2322818766405,1.0
48,103.29774866913716,112.87911053455764,1.0,293.48183059977003,90.1174275973954,1.0,272.18679713770956,103.14881272134575,1.0,97.96383265871114,110.92756130741834,1.0,104.39361367061882,256.07351034955525,1.0,288.65881295233703,249.97210341657842,1.0,266.01684125791786,294.3088974223526,1.0,103.6502474263517,351.9613476954664,1.0
49,99.0344523886682,112.72774545205999,1.0,298.0517188163101,92.1263099273693,1.0,267.98464458391175,104.10259332471202,1.0,100.6459307173805,111.37447928678958,1.0,100.47583168383223,256.54214181604834,1.0,292.70556300141175,249.85960597093987,1.0,262.0627699095796,294.1211041341149,1.0,106.01965377602939,358.31145329956183,1.0
50,95.89222867240065,115.48887641180221,1.0,303.2191439797714,95.18933496229978,1.0,262.8463663483398,103.75005464132951,1.0,104.85066111046783,101.4557745352024,1.0,97.24586127094528,257.2482875795163,1.0,297.14543028562116,249.2206652084761,1.0,257.3076292752557,293.6373335654094,1.0,111.1296553205041,360.43762353689135,1.0
51,92.67344763007279,118.08932092751844,1.0,305.4599118427486,99.94789638273615,1.0,258.1320422742479,102.83362333321944,1.0,110.89842504467785,91.41857135051356,1.0,93.96450531640775,257.95785134382817,1.0,298.46015096536934,245.3927954108662,1.0,252.98212845823474,293.2929762784833,1.0,117.91707989964496,365.78059003246983,1.0
52,88.41704417188916,118.4615965890973,1.0,302.41792154511603,101.19959119989127,1.0,253.32088911962785,101.9180854924751,1.0,128.25831843247423,87.01555568975988,1.0,89.98789035130163,258.19349507057535,1.0,295.30924738654585,243.01902254055102,1.0,248.56817108129187,292.99083267607534,1.0,133.93746946313686,367.23908951255015,1.0
53,84.01358391558998,119.25539818195584,1.0,298.1889467298031,107.03740188823437,1.0,248.71680570902816,101.75997956455382,1.0,140.95200026259204,84.52515993543162,1.0,85.82562111906893,258.5363487947035,1.0,290.28541526583297,240.91836736664254,1.0,244.29451544741545,292.43539061234793,1.0,145.5411131053371,366.9982981706745,1.0
54,80.65673156595022,119.86240853727104,1.0,292.281211023388,106.10369144159057,1.0,243.99202171433052,101.01802298526091,1.0,157.74806724968636,82.38666592204405,1.0,82.64599190386878,258.1105746971079,1.0,284.7576183994874,239.32259906162625,1.0,239.92742050520724,291.3849939605962,1.0,160.72862512130155,365.75557611816294,1.0
55,75.84931776825754,119.69857129495568,1.0,286.44963473490344,104.19368121575388,1.0,240.0393870920298,100.14646036373006,1.0,170.12377785328292,82.34757466310921,1.0,78.22108488390437,257.9663361905834,1.0,279.40927358159064,234.4805563775101,1.0,236.29463560798698,290.704769041512,1.0,171.69603450195456,363.32986211691156,1.0
56,72.72280068143723,119.67129768568498,1.0,280.5410752125518,102.7110531257585,1.0,235.4947761753274,99.34379283148782,1.0,184.81778060932075,81.22102492527895,1.0,75.32756904848964,257.20627610048837,1.0,273.96493030384397,232.60044715971432,1.0,232.11199770950157,290.1079283642171,1.0,184.87907197863836,362.0525147455646,1.0
57,71.346180536046,117.78620283052348,1.0,275.8695874055863,102.36828250508236,1.0,229.21351647203045,97.8437958299475,1.0,195.30461586367247,87.20004593569124,1.0,74.28200379898556,257.19381584797475,1.0,269.5133928957359,230.29064635191355,1.0,226.3647901963294,289.6456775200651,1.0,193.35527843242684,361.02926434897637,1.0
58,72.01997131131304,115.2560164937941,1.0,271.71392353123326,101.29714649568983,1.0,226.24019618227467,97.993840867417,1.0,205.70823336649318,94.1602820588006,1.0,75.22586572864452,258.96735236250316,1.0,265.65391127785637,226.75755609781976,1.0,223.6004776772096,289.61579775172214,1.0,201.62695636034493,360.5113887052343,1.0
59,73.5321621706303,111.85290709437116,1.0,267.2554400933944,100.68951794743126,1.0,223.29254853183755,100.15758351444221,1.0,213.3384301577281,97.42350133692587,1.0,77.04478413525715,260.21507400854136,1.0,261.4395826564106,223.84952063912903,1.0,220.72152960693037,288.86772809300004,1.0,207.93995584744707,359.3246821640635,1.0
60,76.61558441788364,106.85722118342889,1.0,262.3691864838517,100.84121408909266,1.0,220.4737274900247,101.21683618929305,1.0,213.78476856511014,99.04823062014273,1.0,80.51824430538002,262.60132973584876,1.0,256.7163314082961,222.41009621623562,1.0,218.0495103499977,288.8903279303085,1.0,208.11111558144552,359.0998657442061,1.0
61,82.48039889045069,98.93525870472536,1.0,257.5022026184535,101.14067168989752,1.0,217.67104577175,101.54133594450622,1.0,210.64320697628102,100.92677669513179,1.0,86.9143872825984,264.95993782536243,1.0,252.00686732987492,222.18894497480662,1.0,215.44736110859148,289.317601162545,1.0,205.06225395521773,358.68990533670245,1.0
62,90.05534783813918,91.37460712952537,1.0,252.6912171849766,100.59043977896357,1.0,216.24573911567393,102.06594837107515,1.0,214.42070980106672,101.24054676996997,1.0,94.87368064978668,270.10719550388313,1.0,247.48173851246,221.54951689704583,1.0,214.14844312179792,290.9951865538348,1.0,208.37088259936957,358.6628899963235,1.0
63,97.11801885609003,80.96496235513878,1.0,247.42226293933567,100.35861807850519,1.0,214.71610500433454,101.67645044117472,1.0,210.31456458497507,102.0803175076434,1.0,102.65904439017714,270.60908308866476,1.0,242.47059063967745,221.14536613712588,1.0,212.79962204785045,292.4787867456799,1.0,204.61685241156152,359.2657744984526,1.0
64,102.28062274514916,73.88814320275097,1.0,243.07337521682206,99.79300857308395,1.0,214.98650101929167,101.28044185747835,1.0,205.38718846043406,102.96321666405086,1.0,108.2902039823446,271.44312588541584,1.0,238.39607296616637,220.88037665122505,1.0,213.1187887320366,293.9596553278878,1.0,200.12332621530837,359.26126294015654,1.0
65,108.66765790123564,69.56686791391618,1.0,238.39043263071812,99.03840274775466,1.0,214.89359598282715,101.09692531953182,1.0,202.09333575248837,103.52327036015433,1.0,114.728987371117,273.092025985092,1.0,234.03320362847649,220.66472657342877,1.0,213.08517653799987,295.31364113580815,1.0,197.12451416739015,359.3683018517257,1.0
66,116.52466244869501,67.14537066041053,1.0,234.14545980690642,98.18177858043053,1.0,218.2656688632525,99.80129987247687,1.0,196.90329702578867,103.26459509816041,1.0,122.3124878536855,276.32139127955844,1.0,230.10850632731206,220.6110165481319,1.0,216.44941490325255,300.6588711697553,1.0,192.5508373577204,358.8852848526047,1.0
67,125.72963217529411,65.5999586312389,1.0,229.32608887942806,97.46921268834768,1.0,221.41620033103453,97.97273468516599,1.0,192.28188049207407,103.96588800033122,1.0,131.01107475978236,276.83814261164173,1.0,225.61872972880633,221.05711881685974,1.0,219.67767038354614,307.24954665567896,1.0,188.35323590766757,358.8180626793088,1.0
68,131.59171512885015,65.98625967145244,1.0,226.73490903914703,97.55470338019157,1.0,230.1101040145627,94.32619495313976,1.0,190.48817008121617,103.9863642108359,1.0,136.36557070073766,275.0097843921358,1.0,223.1349913151645,221.6758382265314,1.0,228.14756190375962,313.8687686495466,1.0,186.75806062956366,358.72654352927196,1.0
69,137.5767552289946,68.50703414708056,1.0,223.65363280045682,97.1362282283078,1.0,240.55722470564467,93.13543066394882,1.0,186.21767995223942,104.0189198168581,1.0,141.55104509058367,270.4237735610925,1.0,220.26407481482835,222.31775027438889,1.0,237.99475984445232,317.0831228602126,1.0,182.96521268271806,358.8513047584183,1.0
70,143.78955810658667,71.37699999967825,1.0,220.91928440069535,98.14636308792498,1.0,254.53321332494693,90.89514499317129,1.0,182.25592308122796,104.3681342184778,1.0,146.90227106792452,265.5454972568183,1.0,217.49248104346933,222.84894531631065,1.0,251.10629718937685,318.17416802388584,1.0,179.40067667274585,358.70646642452294,1.0
71,159.11353762083382,97.19565755239827,1.0,219.04969929222554,99.20885239018119,1.0,265.7622971824298,91.400536309087,1.0,180.27034066901876,104.51832988334203,1.0,157.9204663514207,261.5391578004427,1.0,215.5392490528638,223.3339304220837,1.0,261.47189133549534,317.88993507137695,1.0,177.6210989761312,359.07274736097776,1.0
72,161.3784343305486,102.42347878704557,1.0,214.1467910063882,99.64452120197372,1.0,275.47536530307775,93.06561050540552,1.0,176.37970924944517,105.12785292758367,1.0,159.3569199923905,258.5787940568543,1.0,210.7854106703718,223.87436540289528,1.0,270.2874832735401,315.06682612693623,1.0,174.08829198716103,359.4724792549845,1.0
73,163.74920295065957,104.3575944684593,1.0,210.60396517788087,99.95670388971092,1.0,284.1843548949746,93.65366395043482,1.0,172.0854241064465,106.0029088757685,1.0,161.2995893837392,256.8944680815069,1.0,207.3541051944168,224.4788533903727,1.0,278.31079372317913,314.6956119569607,1.0,170.16095952599596,359.8863706886535,1.0
74,164.69947259103805,105.67705434159474,1.0,207.01447109376653,98.24031222044401,1.0,292.9862661580859,94.89871840786506,1.0,168.1421835367977,106.08428526672434,1.0,161.98669911564195,253.42816878231525,1.0,204.20113759079504,224.772073318351,1.0,286.3520774916949,313.34779606888475,1.0,166.65365295535497,360.243878053684,1.0
75,162.0926873474791,105.85516827866206,1.0,203.43838175317418,96.32955892807281,1.0,300.6261749094823,93.56615162908224,1.0,163.3981523474634,106.21549702092429,1.0,159.55234574325902,253.04497266433498,1.0,201.09190340755833,225.03283406998221,1.0,293.4487680554286,311.45759906686027,1.0,162.4247604551947,360.0806134971006,1.0
76,159.83374785328417,106.41056673677356,1.0,201.0549303999107,95.63623256436853,1.0,306.97297901976685,93.23498948660685,1.0,161.5489962401546,106.49480414552353,1.0,157.38762894565636,251.97099674488626,1.0,198.91276703893536,224.3794615924644,1.0,299.3139553123597,310.3540424293371,1.0,160.751684823665,360.84334150820604,1.0
77,155.95937182208593,106.94532790493665,1.0,200.2420284454795,94.73051683071346,1.0,312.46920003626224,94.1774389306071,1.0,158.47582341982093,107.16483072608108,1.0,153.7316102778517,250.82107373524494,1.0,198.27835395403062,224.19610533527853,1.0,304.3379278150183,309.9080772147512,1.0,157.93399305051315,361.00068454628405,1.0
78,152.03338883286204,108.3634163486656,1.0,199.94960600236192,93.06918939565517,1.0,317.19826109840335,96.07984172283881,1.0,156.3004939944031,107.79192949419843,1.0,149.92475634124406,250.01225291183684,1.0,198.26627014278756,224.14597425746956,1.0,308.58307639605465,309.0525867750372,1.0,155.91848837590695,361.1081023235063,1.0
79,146.8078660222866,108.44080376102121,1.0,199.83889811283763,91.72610971935957,1.0,320.123817218004,98.99983623935013,1.0,153.44542137881888,108.39580472983361,1.0,145.08885467923412,250.34784395204443,1.0,198.37635790327386,224.07807175876107,1.0,311.10832763542567,308.51217873054594,1.0,153.3046371903053,361.4188516492842,1.0
